ScenicSpotID,ScenicSpotName,DescriptionDetail,Description,Phone,Address,OpenTime,Picture,Position,ParkingPosition,City,SrcUpdateTime,UpdateTime
C1_315081200H_000006,峨眉湖,峨眉湖位於新竹縣峨眉鄉富興村與湖光村交接處，本體其實為第一座國人自行設計興建的水庫，稱大埔水庫，主要是供應灌溉及工業用水，也有防洪功能。2000年內政部解除水庫保護令遂讓峨眉湖開始發展觀光。 來到峨眉湖，首先映入眼簾的除了廣闊湖面，還有環湖步道，若要欣賞各種角度的湖畔之美，不妨走上一圈。步道全長3.5公里，只走前半段的峨眉湖步道則只有約1公里，且這1公里的步道藏有慷慨與巧思，改建過的峨眉湖步道能完工要多虧當地仕紳余錦奎伯伯的無償提供，也因此這段步道設有一段「徐伯伯的橋」，橋下的3D彩繪溪流栩栩如生，宛如流水正汨汨而去，溪上還有油桐花、蓮花荷葉點綴。繼續沿著湖畔走，沿途琳瑯滿目的水岸植物彷彿生態教室，配合一旁的解說牌，讓遊客寓教於樂。另外，遊客也能發現水面一大片翠綠的布袋蓮，這景觀固然美麗，但也令人擔憂外來種植物對原生種的侵害，國人須以此為警惕，維護我們的自然環境。 走著走著便會看到另一個峨眉湖知名景點&mdash;&mdash;細茅埔吊橋，原先橫跨峨眉湖的吊橋有五座，方便附近居民往來，如今只剩下細茅埔吊橋連接十二寮休閒園區與富興老街。細茅埔吊橋橋身能承重五十人，橋塔有著桐花的裝飾，佇立其上兩邊都能欣賞湖上風光，隨著時間與天氣對湖面造成的變化，可謂有著千百種景致。,峨眉湖位於新竹縣峨眉鄉富興村與湖光村交接處，本體其實為第一座國人自行設計興建的水庫，稱大埔水庫，主要是供應灌溉及工業用水，也有防洪功能。2000年內政部解除水庫保護令遂讓峨眉湖開始發展觀光。 來到峨眉湖，首先映入眼簾的除了廣闊湖面，還有環湖步道，若要欣賞各種角度的湖畔之美，不妨走上一圈。步道全長3.5公里，只走前半段的峨眉湖步道則只有約1公里，且這1公里的步道藏有慷慨與巧思，改建過的峨眉湖,886-3-5800116,315台灣新竹縣峨眉鄉湖光村,全天,"{'PictureUrl1': 'https://www.trimt-nsa.gov.tw/Content/Uploads/StrollArea/Detail/543a47a4-30e6-4165-8057-7ab0edb366d2_thumb.png', 'PictureDescription1': '峨眉湖'}","{'PositionLon': 120.98529815673828, 'PositionLat': 24.679859161376953, 'GeoHash': 'wsqh3hff9'}",{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000150,埤塘窩自然農莊,往九芎湖一路上行，未抵達金谷農場前有一條右彎小路，就是埤塘窩水生植物教育園區。以預約客為主的埤塘窩之前是水稻田，後來改種果樹，但因為老闆黃劉金奎年紀大，加上人口外流，圳道與池塘也漸失功能，不忍心愛土地就這樣荒廢，於是與社區一起進行改造。原來一甲的面積，利用水塘環境種植起水生植物，園區內還種植昆蟲喜愛的蜜源植物，像是穗花棋盤腳、馬兜鈴等，讓蝴蝶在這裡輕鬆覓食；還有光蠟樹來提供獨角仙適合的生態。整個園區美麗又乾淨，加上隨處都可以與昆蟲交朋友，處處充滿驚奇，讓這裡成為小朋友最愛的尋寶祕境。,886-3-5899606,新竹縣新埔鎮照門里九芎湖2號,平日：08:30-17:00,{},"{'PositionLon': 121.10600280761719, 'PositionLat': 24.85409927368164, 'GeoHash': 'wsqj7ud9w'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000151,十全農園,提供採草莓的服務，據主人說只提供價日，平日不開放比維持草莓品質。,886-9-32113664,新竹縣關西鎮大同里(118線道上),國道3號關西交流道下＞延台118線道上,09:00-17:00,{},"{'PositionLon': 121.1500015258789, 'PositionLat': 24.805700302124023, 'GeoHash': 'wsqjhgdxx'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000152,錦山觀光農園,位於六曲窩的錦山觀光果園，空氣新鮮占地廣大，園區內農產品採有機栽種，且園內的無籽桶柑品質優良，網路上的評價高，入園採果只需要30元，即可享受桶柑「吃到飽」，是適合全家出遊的好去處。,886-3-5478188,新竹縣關西鎮錦山里14鄰167號,國道3號關西交流道下＞接「台118號」＞竹29線道右轉＞直行即可到達,08:00-17:00,{},"{'PositionLon': 121.23200225830078, 'PositionLat': 24.77400016784668, 'GeoHash': 'wsqhytyrn'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000153,阿根草莓園,全台灣最有名氣的草莓園在大湖，可是很多人不知道， 關西就有草莓園，而且離關西交流道很近，不需要長途跋涉， 在台118縣上，關西往新埔的方向，阿根草莓園即是其中頗富盛名的一家。,886-9-28305348,新竹縣關西鎮正義路572號,1.北二高速公路→關西交流道(往新埔方向)→右轉直走約6公里處2.中山高速公路→竹北交流道→竹118縣京新埔→約12公里處,假日 09:30-17:00,{},"{'PositionLon': 121.12699890136719, 'PositionLat': 24.814800262451172, 'GeoHash': 'wsqjhm3ux'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000154,關西鎮農會仙草加工廠,近年來以仙草聞名的關西鎮，可是讓逐漸沒落的農業生產，重新找到最具特色的第二春。目前仙草栽種於新竹縣關西鎮、芎林鄉，苗栗縣銅鑼、三義、桃園縣新屋鄉，和花蓮縣鳳林鄉。仙草是外型像薄荷葉般小巧翠綠、略帶絨毛的台灣原生植物。仙草每年自3~4月開始種植至當年9~10月成熟後採收。但是就屬關西鎮的種植面積最大，且經過桃園農業改良場指導加工技術的改進，研發出多款的仙草產品。,886-3-5872010,新竹縣關西鎮北山里高橋坑6號,北二高速公路關西交流道下右轉往新埔方向→正義路行駛300公尺處左側即達,平日：08:00-17:00／假日：09:00-17:00,{},"{'PositionLon': 121.16200256347656, 'PositionLat': 24.803300857543945, 'GeoHash': 'wsqjj573x'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000155,慈心農場,農場原名為牧新苑，於八十六年元旦改為關西慈心全有機生態教育農場，放棄化學農藥及化學肥料，完全改以有機農耕。,886-3-5877050,新竹縣關西鎮仁和道路10號,國道3號在關西交流道(79K)下→接118線正義路左轉往關西→到中山路左轉直走接中山東路→經過東安古橋、迎風館、關西高中直走→到叉路口順著東山農園指標左轉，沿著路標即達,未提供,{},"{'PositionLon': 121.19999694824219, 'PositionLat': 24.787399291992188, 'GeoHash': 'wsqjjbrjh'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000156,福田草莓園,關西鎮栽種草莓面積約有18公頃左右，主要分佈在縣道118線公路旁，台三線公路旁亦有栽種，是全新竹縣最大的草莓耕種地。關西的草莓栽種不以土耕為限，主要是以穴植管法培育，果實更大、品質更佳。,886-921-873603,新竹縣關西鎮高橋坑11鄰13號 (118線道上),國道3號關西交流道下＞延台118線道上,週六-日09:00-17:00,{},"{'PositionLon': 121.15799713134766, 'PositionLat': 24.80470085144043, 'GeoHash': 'wsqjj589c'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000157,高品蕃茄農園,關西鎮栽種草莓面積約有18公頃左右，主要分佈在縣道118線公路旁，台三線公路旁亦有栽種，是全新竹縣最大的草莓耕種地。關西的草莓栽種不以土耕為限，主要是以穴植管法培育，果實更大、品質更佳。,886-9-32176751,新竹縣關西鎮石岡子路22號,國道3號關西交流道下＞延台118線道上,09:00-17:00,{},"{'PositionLon': 121.14900207519531, 'PositionLat': 24.805999755859375, 'GeoHash': 'wsqjhgf12'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000158,大羅草莓園,關西鎮栽種草莓面積約有18公頃左右，主要分佈在縣道118線公路旁，台三線公路旁亦有栽種，是全新竹縣最大的草莓耕種地。關西的草莓栽種不以土耕為限，主要是以穴植管法培育，果實更大、品質更佳。,886-3-5874160,新竹縣關西鎮11鄰21號,國道3號關西交流道下＞延台118線道上,未提供,{},"{'PositionLon': 121.16000366210938, 'PositionLat': 24.80459976196289, 'GeoHash': 'wsqjj5d12'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000159,元馨柿餅,元馨柿餅現今傳承到了第四代，使用加工製法秉持家族傳承古早的技法，以木炭煙燻柿餅，讓澀水完全蒸發，獨特的香味才得以散發出來，這就是「元馨柿餅批發零售加工站」特有的甜味與香氣。,886-3-5884348,新竹縣關西鎮東平里4鄰大旱坑40之1號,從國道3號的 79-關西 號出口下交流道，沿正義路/118縣道前往目的地,08:00-22:00,{},"{'PositionLon': 121.13099670410156, 'PositionLat': 24.867000579833984, 'GeoHash': 'wsqjkquuu'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000160,鹿寮坑段木香菇農場,農場位於新竹縣芎林鄉，主要生產無汙染有機段木香菇。農場裡的生態十分的豐富，有數十種的菌類，由於是有機無汙染栽種，所以相對之下農園裡青蛙、蝦虎、螢火蟲等等生物也是多得數不清。往農園裡走約30公尺，有一巨木「九丁榕神木」，樹下有一座當地居民的精神信仰──福德祠。農場採多元化經營，結合生態親子農物體驗DIY等，讓遊客享受豐富而有層次的旅遊。此外在油桐花遍野滿地的五月季節，來到鹿寮坑段木香菇農場，除了能體驗採香菇的樂趣之餘，還能欣賞美麗的花海。專門生產無污染的有機段木香菇，為台灣大學香菇研究與觀察的戶外教室。以段木為培育香菇的介質，鹿寮坑的段木香菇肉厚肥美，香甜多汁，完全沒有農藥殘留問題，遊客可以放心大啖。鹿寮坑段木香菇農場，為保存原始濃郁的菇味，執著堅持採用傳統「段木栽殖工法」專職栽培，進而配合農業轉型融合周邊果農開創休閒、教學、食療、親職DIY、農務體驗等多功能的農村生活，達到寓教於樂的好所在。,886-3-5932691,新竹縣芎林鄉華龍村5鄰187號,二高下竹林交流道往竹東、橫山方向→走竹120縣道經五秀人行於17.2公里處左轉進入華龍村→循線前進約3公里→至華龍村右轉竹26線鄉道3公里處即抵。,08:00–18:00,{},"{'PositionLon': 121.13999938964844, 'PositionLat': 24.747299194335938, 'GeoHash': 'wsqhu957q'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000161,順翌休閒馬場,順翌馬場位於芎林鄉大華技術學院旁)，創辦人曾順麟先生於2004年7月的時候，將經營快四年多的馬場重新整修，有多樣的設施：室外馬場、小型室內馬場、野外騎馬區、美食區、烤肉區、採果區、賞馬區、可愛動物區、精油SPA區&hellip;.等等。,886-3-5121671,新竹縣芎林鄉中坑村10鄰3號,芎林交流道下往芎林方向→經過廣達加油站的一個紅綠燈右轉大華技術學院→右前行1500公尺→前行至米店處小路依指標右轉→再前行500公尺→左下斜坡前進→順翌馬場請依指標進入,未提供,{},"{'PositionLon': 121.10299682617188, 'PositionLat': 24.781400680541992, 'GeoHash': 'wsqhgz2d0'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000162,深井村茶花園區,茶花，為新竹縣縣花，其耐寒、持久，樹姿優美，柔媚的花朵千變萬化、嬌艷可愛，不帶絲毫千金味，是優雅的化身，在寶山鄉有個隱居世外的茶花村。深井村的邱氏兄弟，多年來投入茶花培育，品種多達近千種，茶花盆景與花苗更是數以萬計。 邱家茶花園遍佈深井村，將原本沈寂的小村打造成有如茶花綻放嬌豔光彩的深井茶花園村。在農曆年前後盛開的時節，走在花園裡，緋紅、純白、嫩粉、淺橘花團錦簇繽紛眩目，有種像被茶花淹沒的錯覺，望之令人心花怒放，流連忘返。&nbsp;,886-3-5200090,新竹縣寶山鄉深井三路213號,從國道1號的 95B-新竹 號出口下交流道，走園區二路前往寶山鄉的雙園路二段/竹82鄉道,未提供,{},"{'PositionLon': 120.96199798583984, 'PositionLat': 24.746700286865234, 'GeoHash': 'wsqhb8czf'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000163,峰城炭窯 (木炭的家),寶山境內多丘陵，丘陵地上相思樹木成林，而相思樹正是製作木炭的上好原料，砍下的木材需晾置一個月以上，再以粗幹做炭材、細枝做燃料，放進窯中悶烤5-6個星期，才能製成無煙又耐燒的高品質木炭峰城炭窯結合了公家機關與社區力量，共同以傳統工法打造高優質木炭，在木材歷經窯中悶烤5-6個星期後，相較於現代技術大量生產及進口的木炭，峰城炭窯所燒出來的木炭顯得特別耐燒、少煙，每逢開窯時刻，空氣中飄散木頭燃燒的香味，現場冒煙的景象總是吸引者喜好攝影者前往拍攝；至今峰城炭窯仍然以傳統土窯製作木炭，讓現代人體驗當驗當時先祖克勤克儉的精神，此炭窯又名「木炭的家」，實在是再適合不過了！,886-9-31150826,新竹縣寶山鄉峰城路8巷20號,國道3號寶山交流道(寶山 科學工業園區)出口下交流道，朝大雅路前進 →大雅路向左轉 →上匝道，朝三峰路/竹43鄉道前進 →請於三峰路/竹43鄉道向左轉 →請於新湖路/竹40鄉道向右轉→目的地,未提供,{},"{'PositionLon': 120.99299621582031, 'PositionLat': 24.72330093383789, 'GeoHash': 'wsqh9k8rt'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000164,上瑞柑園,「上瑞觀光果園」位於新竹縣竹東鎮，距離南清公路500公尺的東河產業道路上。民國78年即開始柑橘果樹栽種，以海梨、桶柑為主要種植，果園佔地約1.5公頃，82年轉型休閒產業開放採果。目前由農會、鎮公所技術輔導，每年接受桃園農改場作農產檢驗，在89年榮獲全省「觀光農園考評-優良觀光農園產銷班」銀牌獎，果園主人賴先生目前任職「台灣省觀光農園發展協會」監事，畢生精力投注於果樹栽種鑽研，遊園採果的朋友都給予很高的評價。今年以成功改良的&rdquo;清見No.2&rdquo;最吸引大家，其顆粒大、纖維細、微酸味甜多汁是最大的特點。,886-3-5949012,新竹縣竹東鎮瑞峰里1鄰1號,1.北二高：竹林交流道下→68號東西向快速道路→往竹東方向→往五峰（走122縣道）→122縣道在31.8K右轉→循東河產業道路約500公尺（往隴西園方向）→右側上坡即達。2.中山高：竹北、新竹、科學園區交流道下→往竹東方向→走竹122縣道往五峰、清泉方向→於31.8K右轉→循東河產業道路約500公尺（往隴西園方向）→右側上坡即達。,09:00-17:00,{},"{'PositionLon': 121.09700012207031, 'PositionLat': 24.66189956665039, 'GeoHash': 'wsqh79s1u'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000165,頤禾園有機農園,頤禾園經營者陳禮龍是軟橋地區的女婿，長久養成的科技人特性，讓他從種菜程序中歸納出「最佳化」的經營方式。首先，他採用「計畫性種植」，客戶的訂購期是一期4 個月，預付款項，等於確定這筆訂單後，才開始種。因此每週出菜給訂戶時，農園餘留的蔬菜不會超過5 包， 避免供過於求的問題 。陳禮龍將這片農園做多元化、多角化的經營。他曾經推廣都市人來鄉耕種，也在社區大學開設「有機蔬菜種植與養生」，獲選為99 年度學術優良課程，吸引住在都會區的學員來此種菜，實際操作有機農法，還可經驗農村生活。之後他再推出一天或半天的「食農教育體驗營」，20 人以上即可組團，吸引許多農會、幼兒園、老人大學、及親子家庭來參加。,886-9-81463589,新竹縣竹東鎮軟橋里軟橋21 號,從國道3 號竹林交流道或國道1 號新竹公道五交流道→ 68 號快速道路往竹東、橫山方向至竹東端下→右轉3 號省道→左轉122 縣道→左轉佳鄉餐廳旁巷子（25.8 KM 處）→右轉有機米產銷班300M 即可抵達。,05:30–17:00,{},"{'PositionLon': 121.10199737548828, 'PositionLat': 24.696199417114258, 'GeoHash': 'wsqh7xzcc'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000167,竹林養生村合作社,郭文標於2010 年成立「竹林養生合作社」，投入段木香菇與金線連等經濟作物的生產銷售。他認為，農業發展必須以人與環境共生的理念作為出發點，因此不種植高冷蔬菜，而以物種復育為主。如果因開發而砍一棵樹，至少會種回兩棵以上，秉持永續理念來尋求社區發展。當地原來即有野生的金線連，故在土壤氣候條件適宜的狀況下，成立五峰鄉特用作物產銷班第二班，開始種植金線連。此外也與台北醫學大學等單位進行產學合作，並與生技公司契作，並陸續開發茶包、金線連餐等更多元化的產品應用。,886-3-5851270,新竹縣五峰鄉後湖村10鄰196號,走國道1號、台65線、國道3號和台68線前往竹東鎮的中豐公路/中豐路一段/內山公路/台3線，沿南清公路/122縣道和羅山道路前往五峰鄉的羅山林道南線,未提供,{},"{'PositionLon': 121.09700012207031, 'PositionLat': 24.619300842285156, 'GeoHash': 'wsqh59u1u'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000168,山上人家農場,山上人家座落在大隘白蘭休閒農業區附近，海拔1200公尺，面積五公頃，鄰近參山國家風景區與鵝公髻山，有高聳的吉野杉圍繞。園區附近有農民種植水蜜桃、李子、甜柿及高冷有機蔬菜，夏天氣溫18-22度，是最佳避暑勝地。,886-3-5851376,新竹縣五峰鄉大隘村23鄰468-5號,東西向快速道路(省68)往竹東方向，下快速道路右轉→台122縣道，到35.5或42.3右轉依山上人家指標前往。,平日：08:30-17:00／假日：08:00-17:00,{},"{'PositionLon': 121.08899688720703, 'PositionLat': 24.604700088500977, 'GeoHash': 'wsq5grnkf'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000169,和平部落休閒農業區,五峰鄉之原住民仍以麥巴來稱呼和平社區，為五峰泰雅族四個發源部落之一，有10餘處天然的瀑布可做SPA，行走在林木蓊鬱的步道，吸收芬多精，令人心曠神怡，是五峰新興的觀光勝地，當地石蓮花、牧草美食和高冷蔬果深獲遊客喜愛。在五峰鄉和平部落農業休閒地區裡，最大的特點就是保有泰雅族原始文化，甚至還以當地竹林特產，建造出一座座的竹鳥居、竹子屋、竹子、竹子標示牌等，各種特色文物，讓旅人一進入和平部落地區，就立刻感受到原住民的熱血風情。和平部落擁有3條著名的步道，其中又以谷燕瀑布步道最有名氣；在谷燕瀑布步道側邊的麥巴來步道，可說是當地居民早期的重要道路，雖然現在已經擁有便利的連外馬路，但對居民們來說，這裡仍有存的價值與意義。位居和平部落中央的鬼澤山登山步道，是登山者熱愛的天堂，從此處可以爬上和平部落的最高點，瞻望整個和平村落之美。 除了和平部落的原始特點之外，這處農業區還是桃、李的特產部落，每到桃、李盛產時期，整座山頭多為包上果子的白色紙袋，不仔細看的話，還會誤認是雪花遍布山頭，十分美麗。,886-9-39139071,新竹市新竹縣五峰鄉竹林村和平5鄰160號,從國道3號的竹林交流道下行，並接120縣道再右轉進入竹林大橋至竹東，接著往竹東方向接竹122縣道，於五峰鄉公所前50公尺左右進入麥巴來社區，經和平橋之後，大約再行駛5分鐘之路程，即可到達。,09:00-17:00（週一公休）,{},"{'PositionLon': 121.09700012207031, 'PositionLat': 24.619300842285156, 'GeoHash': 'wsqh59u1u'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000170,五峰涼山露營區,從五指山及南庄往茅圃、由十八兒部落及五峰往茅圃、由清泉經白蘭部落往茅圃，這三條道路的交會處有涼亭及小市集，是由涼山露營區的老闆私人所建造，由三面谷地吹來的涼風，正好為途經此地的旅客，提供一個涼爽的休息及賞景場地。經過約一年的規劃與施工，涼山露營區正式對外開放，場地平坦、視野寬廣、景觀佳，四周都是果樹，附近的名山都在視線中，還可看到賽夏族矮靈祭的祭場、上坪溪谷、關西的夜景、日出的美景、雨天時的彩虹等。提供露營、烤肉、原民飾物等服務。,886-9-31167691,新竹縣五峰鄉421號,中山高新竹交流道下→往竹東方向→到新竹客運後左轉122縣道(南清公路)往五峰→到35.5K右轉經十八兒部落順著魯木農場指標即可先到達涼山露營區。（註：由122線的42.5K或50.5K處右轉上坡都可以順著指標到達）,烤肉區：11:00~15:00，全年無休，需事先預約。 露營區：進駐13:00以後，離場次日上午13:00以前，提前進場需先連絡。,{},"{'PositionLon': 121.11100006103516, 'PositionLat': 24.69379997253418, 'GeoHash': 'wsqh7zq7f'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000171,天岳農場,農場位於五峰鄉大隘村，由台積電退休工程師創立，園內種植銀杏、吉野櫻、八重櫻、富士櫻及山櫻，果樹有桃、李、梅、柿、杏，放山土雞採草地放牧法，四週群山環抱，如自然天成之山水畫。建立與自然生物和平共存的生態農場，讓許許多多種類的野生生物生活其中，蝴蝶、蜻蜓、蜜蜂穿梭飛舞，小鳥歌唱，青蛙和昆蟲競相鳴叫。提倡自然野趣生態旅遊、登山健行、森林浴、騎越野自行車、觀賞野生動植物，藉由體驗大自然，享受農村生活，淨化心靈。,886-9-38329516,新竹縣五峰鄉大隘村23鄰464號,從國道3號的竹林交流道下行，並接120縣道再右轉進入竹林大橋至竹東，接著往竹東方向接竹122縣道，於五峰鄉公所前50公尺左右進入麥巴來社區，經和平橋之後，大約再行駛5分鐘之路程，即可到達。,09:00-17:00,{},"{'PositionLon': 121.09700012207031, 'PositionLat': 24.619300842285156, 'GeoHash': 'wsqh59u1u'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000172,青葉甜柿園,甜柿正在快速的長大柿子成熟時， 請快來品嘗美味的佳果，更棒的是，有免費試吃噢！！&nbsp;有軟的也有硬的可以試吃噢，＊軟的：剖半用大湯匙挖就可以吃了，＊脆的：將果皮表面清洗一下再用削皮器削去果皮即可食用；或者用刀子切開一片一片食用風味也不錯哦~！通常在柿子園裡面摘到的都是脆的，如果有摘到軟的 &nbsp;通常是太熟沒有採收。如果買回家以後想要吃「軟」的柿子，就將柿子放於室溫4~5天就會就會變紅變軟。如果將柿子放在冰箱裡面比較不容易變軟，因為放冰箱因溫度較低不容易熟成，但是將會使柿子放冰箱會變的又脆又甜，口感較佳。,886-9-16800724,新竹縣五峰鄉和平部落5 鄰 166 之 4 號,每年國曆10～12月開放自採,{},"{'PositionLon': 121.11900329589844, 'PositionLat': 24.629199981689453, 'GeoHash': 'wsqhh5s5m'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000173,大山背農園,本區道路主要沿著油羅溪環大山背山而行，為新竹縣的柑橘重要產地，初夏時節，數量龐大的螢火蟲聚集於此，是新竹縣最知名的賞螢處。大山背休閒農業區，是以樂善堂當中心點的橫山村大山背為範圍，大山背以出產柑橘著稱，觀光果園分布在樂善堂周圍的山坡地；每年12月至隔年3月盛產的柑橘、具民俗風味的客家文化與原始風采的古道，都能深刻展現地方特色，而大山背休閒農業區的成立，即是要喚起居民維護橫山地區的農村文化與自然景觀的意識。,886-9-88909769,新竹縣橫山鄉豐鄉村大山背5 鄰 52 號,1.北二高關西交流道→經關西，往竹東方向(台3線)行十六公里到橫山→左轉行經萬瑞森林遊樂園方向約六公里→樂善堂前有停車場，下車步行300公尺即到果園，小客車可直駛至農園。2.北二高芎林交流道向竹東走→過竹林大橋，經竹東市、下公館→往關西方向，走台3線→至橫山向右行六公里→到樂善堂前停車場，下車有路線引導。,24 小時營業,{},"{'PositionLon': 121.1449966430664, 'PositionLat': 24.695600509643555, 'GeoHash': 'wsqhkxxn7'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000174,大嬸婆的家手工窯烤麵包,大嬸婆的家手工窯烤麵包,886-3-5934099,新竹縣橫山鄉豐鄉村3鄰48號,從國道3號的 79-關西 號出口下交流道，走中豐公路/內山公路/台3線前往橫山鄉的竹35鄉道,週末 09:30-17:00,{},"{'PositionLon': 121.13800048828125, 'PositionLat': 24.696199417114258, 'GeoHash': 'wsqhkxccz'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000175,老大份休閒農場,老大份休閒農場-私房旅遊景點&nbsp;封面照片取自於 深 旅行-▌新竹橫山‧私房旅遊景點 ▌一個在地大叔對自己土地的熱情與願望【老大份休閒農場】,886-9-87216298,新竹縣橫山鄉大山背6鄰69號,國道3號的 90-竹林 號出口下交流道，繼續走120縣道。行駛到橫山鄉的竹34鄉道,未提供,{},"{'PositionLon': 121.1449966430664, 'PositionLat': 24.695600509643555, 'GeoHash': 'wsqhkxxn7'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000176,天人岩屋,天人岩屋是座貌似高腳屋的建築，也是一間矗立於田野間的玻璃屋。岩屋的牆面是三層樓高的攀岩牆，門前有清澈的小溪流，左側是水生植物的池塘；後方還有種著稻穗的農業體驗區。從二樓眺望，放眼望去的是一大片翠綠繁茂的叢林美景。黃天人表示，牆面之所以會用攀岩牆，是因為攀岩是高挑戰性的運動。,886-3-5936070,新竹縣橫山鄉豐田村1鄰油羅25-6號,國道3號竹林交流道出口下交流道，朝竹東/芎林前進→富林路三段/120縣道繼續沿著120縣道前進→中豐路二段/台3線向右急轉 繼續沿著台3線前進→橫山鄉油羅溪橋→目的地,未提供,{},"{'PositionLon': 121.16500091552734, 'PositionLat': 24.710599899291992, 'GeoHash': 'wsqht4mtt'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000177,秘花園休閒露營區,「秘花園休閒露營區」位於尖石鄉錦屏村那羅部落，提供咖啡、花茶、簡餐、烤肉、露營...等服務，歡迎蒞臨。,886-9-53247850,新竹縣尖石鄉錦屏村12鄰那羅209號,關西交流道出口下交流道，朝關西/新埔前進→正義路/118縣道向左轉→中山路/118縣道向左轉→中豐路一段/118縣道向右轉→中豐公路/台3線向右轉→中山街一段/120縣道向左轉→中山街二段/120縣道向右轉→竹60鄉道向右轉→竹62鄉道向右微轉→ 於第 1 個路口轉左，走錦屏一號橋/竹60鄉道,10：00 ～21：00（週一二休）,{},"{'PositionLon': 121.24500274658203, 'PositionLat': 24.681699752807617, 'GeoHash': 'wsqhqvpvm'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000178,嶺海山林休閒農場,在大陸衛星市場奮鬥20餘年，2004年退休後來到尖石鄉為開發的八五山上，每天走上2.3公里的路程上下山，從零打造屬於我們的小木屋，當時也沒有想過會有數碼天空這樣的餐廳，在海拔1200公尺的煤礦之源，晴天眺望桃園中正機場，陰天等待環繞山間的雲海。之後，許多朋友上山與我們共享這份喜悅的美景，在大家的建議及鼓勵下，花三年時間，從六公頃的土地變成五十公頃的範圍，整個園區結合了環保、科技及人文藝術，採用最接近自然又現代的玻璃帷幕為主要建築，讓美景360度一覽無遺。,886-3-5841015,新竹縣尖石鄉10鄰145號之1號,1.中山高-竹北交流道-68快速道路-竹東-台三線-橫山十分寮-竹20縣道-內灣-尖石-煤源八五山2.北二高-竹林或關西交流道-竹120縣道或台三線十分寮-內灣-尖石-煤源八五山3.北二高→竹科交流道(竹東)→內灣→120縣道→38.4K右轉上山,未提供,{},"{'PositionLon': 121.26300048828125, 'PositionLat': 24.70669937133789, 'GeoHash': 'wsqhx3tnb'}",休閒農業類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
