RouteName,AuthorityName,CityCode,City,Town,RoadSectionStart,RoadSectionEnd,Direction,CyclingLength,FinishedTime,UpdateTime,Geometry
昇平自行車道,竹崎鄉公所,CYQ,嘉義縣,竹崎鄉,159縣道與皇德宮廟宇入口,山仔頂產業道路,雙向,7600.0,971212,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.563728996137 23.4760399969403,120.562000995965 23.4744610049323,120.562128002584 23.4736570043747,120.562768996833 23.4729719983489,120.566584998631 23.4712440029659,120.568301003157 23.4696510000585,120.569243995162 23.4699179975651,120.569909001026 23.4696180044828,120.570574003109 23.4688069994625,120.570938998946 23.4676599989143,120.571872004297 23.4670479973162,120.572167004357 23.465973998709,120.571832000455 23.4646590024988,120.572951996893 23.4643370008594,120.573425996801 23.4636639983123,120.57445699795 23.4635240044693,120.575047004683 23.463616996913,120.575465995266 23.464182000223,120.576135996485 23.4639780007791,120.577494003654 23.4625919987157,120.577906999451 23.4630959995527,120.578364002952 23.4629080020701,120.578649995774 23.4623640017148,120.579457998644 23.4622900047547,120.580050999819 23.4618999966202,120.580656001721 23.462611999352,120.581130997487 23.4629710005786))"
朴子市台糖廢鐵道改建計畫-自行車道整體路網串連建設計畫,朴子市公所,CYQ,嘉義縣,朴子市,168線大鄉里聖善寺旁,朴子市仁和里蒜頭糖廠,雙向,1600.0,1031230,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.256481002646 23.4658690042539,120.271268000516 23.4721870025034,120.282878999499 23.4773709963583),(120.282879997249 23.4773819991251,120.284505001224 23.4779660026965,120.285772999872 23.4782020020392),(120.285801999031 23.4781849965071,120.290589003878 23.478150001358,120.293293999834 23.4782519967005))"
滿竹自行車道,竹崎鄉公所,CYQ,嘉義縣,竹崎鄉,鹿麻產火車站,竹崎村中華路平交道路口,雙向,2565.0,970701,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.531392002344 23.5042800028565,120.532931996394 23.5055009983503,120.537068002541 23.5087100021301,120.545317997666 23.5148909988154,120.54655199609 23.5157979983708,120.54692199515 23.5162570021839,120.54720599753 23.5167739982532,120.548247000239 23.5192729990512))"
瑞德路自行車道,大林鎮公所,CYQ,嘉義縣,大林鎮,瑞德路,中正路（省道台1線上）,雙向,350.0,1020415,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.459487434203 23.6060314509573,120.46031355912 23.6077125515593,120.461032387578 23.609167522168,120.461128946325 23.609383795094))"
義竹鄉一號道路,義竹鄉公所,CYQ,嘉義縣,義竹鄉,鹿麻產火車站,紫雲社區,單向,1300.0,1010102,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.250511166962 23.3396552180196,120.250425342244 23.3366210962859,120.250468250459 23.3335475061021))"
自行車道山線嘉義縣串連路段,嘉義縣文化觀光局,CYQ,嘉義縣,大林溪口民雄新港太保水上,由大林自行車道藉石龜溪鐵橋與雲林縣銜接,南接嘉南大圳自行車道,雙向,470.0,1031104,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.458188171693 23.6271404304733,120.45823307796 23.6265541869921,120.458229019743 23.626173153927,120.45819255181 23.6259779209984,120.458138954359 23.6258156861186,120.458044760701 23.6256280171284,120.4579580233 23.6254527629315,120.457823335617 23.6252554440267,120.457735283411 23.6250926010043,120.455310323685 23.6240766776557,120.45409186132 23.6235601929278,120.453843378407 23.6234415978631,120.453666967986 23.6233368549554,120.453460122804 23.6232098005336,120.453296568114 23.6230702928471,120.453142867408 23.6229344316125,120.453027500859 23.6227571414662,120.452886784735 23.6225696666149,120.452775762114 23.6223589093271,120.452714580014 23.6222763152592,120.452712680834 23.6219549853018,120.452739184133 23.6202294051336),(120.45269305736 23.6202030471888,120.448708669667 23.6205088229567,120.447174299186 23.6205897161016,120.445202532529 23.620726740007,120.442074121957 23.6209665961183,120.441102272433 23.6207544853082,120.440405202992 23.6205965717032,120.438692282735 23.6193108463024,120.42993111427 23.6136601677658),(120.429901196415 23.6136420706766,120.428551904712 23.6134646415002,120.427562074219 23.6134102383019,120.42690600437 23.6134074562844,120.425332126236 23.6131065191884,120.424544032356 23.6128834008317,120.423688196765 23.61242079364,120.423350682594 23.6122292479092,120.420998822569 23.6116846249102,120.420265939344 23.6115205466521,120.419349770871 23.6111810815834,120.412198969486 23.6079661494422,120.411072011186 23.6074185247466,120.406614725134 23.6046709783237,120.402905307357 23.6023512570278,120.402391685478 23.6019966078717,120.401857395101 23.6016908455383,120.401051061987 23.6014151577407),(120.40100111372 23.6013602269935,120.401960542781 23.5976569308934,120.409574555953 23.5963461436593,120.414595159225 23.595625803597,120.418083678652 23.5827261411424,120.418522489563 23.5820063160666,120.41860229523 23.5813882935894,120.418710704416 23.5809911824989,120.418600180264 23.5803270101067,120.418603941618 23.5798066486537,120.418625258233 23.5792864431426,120.419024392389 23.5790818498435,120.419309612064 23.5788093866344,120.419458296867 23.5785180102299,120.41930358886 23.5783924694352,120.419626910245 23.5776600097169,120.419860374642 23.5770675181382,120.420235707967 23.5743364147445,120.420555061513 23.5720354319718,120.419567978103 23.5725687760239),(120.419531372693 23.572541188849,120.416314781751 23.5638749646075,120.415089848435 23.5605637865546),(120.41510627686 23.5605391338731,120.416935065138 23.55886787323,120.416968904022 23.5587489244838,120.416969719684 23.5585884774896,120.416980578641 23.5581409303531,120.416921105208 23.5575828659344,120.416737095932 23.5570779893416,120.416272783648 23.5559111352033,120.415975202144 23.555402400031,120.415585341242 23.5549251836314,120.415304940581 23.5546698692296,120.415019937512 23.5545561510056,120.414743915179 23.554566715783,120.41410722224 23.5547710912954,120.413365662942 23.5551803153942,120.412758278769 23.5555022009479,120.412604143204 23.5552729037246,120.412602564662 23.5550594700452,120.412607069808 23.5548259861518,120.412733265479 23.554562350886,120.412817692921 23.5543498108066),(120.412777291207 23.5542587916432,120.410457196177 23.5479328464122,120.41034819376 23.5476229285508,120.410266746056 23.5471763590624,120.409691114323 23.5418382788171,120.409650805546 23.541203350014,120.409568737315 23.5405087654301,120.409425878664 23.5400467108529,120.409216028814 23.5396595747665,120.408958950692 23.5393060394413,120.407843334737 23.5385121880569,120.406766392556 23.5377698015648,120.406176708927 23.5373965545222,120.400053529758 23.5332998948432,120.399805411456 23.5330043685285,120.396839006154 23.5309728565709,120.396607089451 23.53078430971,120.39633953921 23.5305048478982,120.396075500227 23.5301300628086,120.392311009096 23.5227205145267,120.391946088513 23.521918273919,120.391633015064 23.5211925096777,120.39166257569 23.520856491303,120.391771488543 23.5203448826267,120.392018548719 23.5195888622178,120.392313097779 23.518336017857,120.392426143959 23.5176524341402,120.392552176304 23.5169554104113),(120.392571724183 23.5169185638402,120.392355060766 23.5169890628823,120.392134932064 23.5170507259818,120.391874165156 23.516010143697,120.389069676439 23.5164542221305,120.388832416627 23.5165549394221,120.388661994587 23.5166436924354,120.38784049437 23.5168115072379,120.387395959076 23.5168914514523,120.38696895691 23.5169046339563,120.386059253694 23.5169754552289,120.385131140018 23.5170378820374,120.383416825063 23.5170416949907,120.382789140224 23.5170506669852,120.382427452774 23.5170069012595,120.381117988732 23.5167718671423,120.380946734775 23.516750490128,120.380233497688 23.5164140928052,120.378051294563 23.5151915187165,120.377351627237 23.5146736008226,120.37695399386 23.5143755175863,120.376285917772 23.5135845163914,120.375998318565 23.5133308374318,120.375344402025 23.5127164302323,120.374864317194 23.5123404542509,120.374545072821 23.5118117159446,120.373931995851 23.5108506602109,120.373581485615 23.5100814034645),(120.37357627566 23.5100422293827,120.374290782483 23.5101839434987,120.374824378294 23.5100312255873,120.376152775176 23.5097058274194,120.376411781112 23.5093800767786,120.37676218353 23.5089892525733,120.377397758236 23.5085309684491,120.377727111784 23.5082905572629,120.378070505005 23.5078875297856,120.378538888791 23.5073626195189,120.379262635133 23.5074573114028,120.37939897734 23.5073559083764,120.379701449531 23.5067573274586,120.379854183415 23.5065446790436,120.379948046793 23.5064395486338,120.379994595498 23.5062491330772,120.379955697517 23.5061668251934,120.38017498323 23.5049139202029,120.380209161412 23.5048246431785,120.380298892396 23.504803012632,120.380422610309 23.5048250769472,120.380521493425 23.5047537736562,120.38062276274 23.5046411775074,120.380785239447 23.5043668210548,120.380872656433 23.5041195173543,120.380946225387 23.5038141511506,120.380992051751 23.5035493900087,120.381201255616 23.50302644781,120.381311838844 23.5028227413772,120.381437852563 23.5025854872175,120.381512441531 23.5023631717554,120.3815737902 23.5019001324606,120.381696244084 23.5013154875224,120.38172234351 23.5011777602411,120.381818496476 23.5008682300403,120.381906406757 23.5006338762689,120.382031182362 23.5004409709803,120.382203854374 23.5001936252209,120.382380327454 23.499964579669,120.38261284539 23.4997477024327,120.382726232267 23.499401353109,120.382911845544 23.4988133090833),(120.382920444499 23.4988043494566,120.383456107885 23.4987277212053,120.383946012544 23.498639613887,120.384340287099 23.4985498449263,120.384626418928 23.4985090318754,120.384874426563 23.4985712333226,120.385127075614 23.4985911661106,120.385224924571 23.4986040494934,120.385238870193 23.4983817003724,120.385230972046 23.4981742003556,120.385192405843 23.497920960732,120.385098325774 23.4976382093174,120.384974236841 23.4974167511154,120.38480290788 23.49718052316,120.384606891441 23.4969560446235,120.384388019342 23.4966630295985,120.384217520074 23.4963856283636,120.38415466913 23.4961906160249,120.38509634677 23.493506413175,120.385758041915 23.4917052903307,120.386007232374 23.491097301536,120.386120567955 23.4909085191864,120.386315336899 23.4906588262484,120.387077543345 23.4898534493906,120.387388494336 23.4895200449513,120.387566366389 23.4892712952511,120.387631245314 23.4890552318087,120.387617892066 23.4888537511291,120.387547578051 23.4886229796222,120.387402769917 23.4883988501957,120.387317362483 23.4881781687749,120.387279352287 23.4880563786252,120.387279394571 23.4875663213401,120.388492251283 23.4844318118056,120.386420892413 23.4837837914287,120.386527556926 23.4829340982975,120.38654705878 23.4824323424281,120.38655085628 23.4818420324118,120.386555923897 23.4811167855931,120.386643217885 23.4785614885181,120.386733324412 23.475303590115,120.381614531108 23.4752273607714,120.38065841288 23.4752636402225,120.380180064813 23.4752870229268,120.379822995428 23.4754023135984,120.379225722557 23.4755691466908,120.378783978529 23.4744544521722,120.378521581404 23.4735204628449,120.378074699135 23.471959175585,120.377641556152 23.4702923920621,120.377299833537 23.468729156116,120.376830964545 23.4667470590905,120.376348736396 23.4649007066762,120.376089428605 23.4638186538515),(120.37610141961 23.4638331585824,120.377349444239 23.4637189517202,120.379206861114 23.464553858778,120.379506843124 23.4646358695062,120.379915240152 23.464577770289,120.380237628875 23.464280191008))"
蒜鰲自行車道 崩山港口宮段,嘉義縣文化觀光局,CYQ,嘉義縣,東石鄉,嘉166線,三法宮附近,雙向,2503.0,1050308,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.202088696946 23.4909506463165,120.201688448125 23.4908356365285,120.20095487718 23.4907339331764,120.199571989526 23.4909070665688,120.197988143177 23.4911052850558,120.196524306007 23.4912635904911,120.195179497173 23.4914373866147,120.194618119747 23.4914108469274,120.193760288392 23.4911430730869,120.193055377548 23.4908999516308,120.190046978164 23.4908974014075,120.188756447993 23.4909982215221,120.187892579827 23.492718736046,120.187325499993 23.493711187775,120.186429979837 23.4946376954421,120.185680521767 23.4945758198661,120.184206077951 23.4947886267243,120.183831930601 23.4948556259799,120.183472039011 23.4950415819343,120.182929249249 23.4954965882887,120.181329204739 23.4975694337775,120.179916807268 23.4994886274026,120.179822891437 23.4995920989869,120.178847451669 23.5010689675975,120.177788539584 23.5024563396397,120.176545736376 23.503838108623,120.173745258699 23.5065886845366),(120.225437673983 23.4973819187832,120.224071492659 23.4974216324585,120.223747619326 23.4974001992233,120.223459852971 23.4973655182716,120.222977166656 23.4972490318823,120.221688644381 23.4968604229704,120.221031834227 23.496681198975,120.220778209681 23.4966048948494,120.21949119766 23.49621309714,120.218160359855 23.4958116602059,120.216976156115 23.4954624447568,120.214491476771 23.4947113997229,120.213854537135 23.4945314243355,120.211997503688 23.4940002877119,120.2104256262 23.4934938436414,120.210079772301 23.4934024721994,120.208228040971 23.4928462429815,120.206388393002 23.4922857645456,120.204541306665 23.4917471866437,120.202091382463 23.4909566466725))"
觸口自行車道,交通部觀光局阿里山國家風景區管理處,CYQ,嘉義縣,番路鄉,台18線31k+750南側,台18線32k+600南側,單向,567.0,1011230,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.583877997467 23.4457470013056,120.585269998296 23.4454619972822,120.58666799739 23.4450780000556,120.589170004543 23.4442190018341,120.58924299868 23.4441359999393,120.589212999951 23.4439559968973,120.589303998528 23.4435480050623,120.589295999473 23.443510996856,120.588947997601 23.443348000088,120.588918000148 23.4432689982927,120.588977003867 23.443101998087,120.589114000841 23.4429789990152,120.589213003845 23.4430430028537,120.590154998939 23.4427900004086,120.590360998896 23.4426840044078,120.590593998768 23.4424229965243))"
鹿紫自行車道,竹崎鄉公所,CYQ,嘉義縣,竹崎鄉,鹿麻產火車站,紫雲社區,雙向,5600.0,970317,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.531757003856 23.5051649970669,120.53211100073 23.5045650002085,120.531729998416 23.5042259997685,120.53282699958 23.50303299647,120.533987002121 23.5019250008762,120.534695995162 23.5024529976009,120.535608003103 23.5035830004825,120.536042997609 23.5035770004271,120.536453002675 23.5049119994556,120.537281003134 23.5060330015827,120.537894995122 23.5062489967235,120.53813799854 23.5065339984373,120.540183998403 23.5076060016534,120.541162999878 23.5064449996749,120.542060002088 23.504949000525,120.54185499661 23.5046829982054,120.541958997619 23.5044349982371,120.541522998367 23.504142002797,120.54130300251 23.504281003469,120.54087799578 23.5039979986547,120.540874998685 23.5037919984031,120.539477002329 23.5029569982908,120.540144998713 23.5016309985845,120.541203002758 23.5008649999912,120.54146300066 23.5004229992697,120.542558999554 23.500300000314,120.54321399934 23.499874001097,120.543520999161 23.4995390042198,120.542997995508 23.4990170018198,120.542575001262 23.4985490015687,120.539713999127 23.4979320013046,120.53965699562 23.4974359975277,120.540487003007 23.4969619994749,120.541245001288 23.4962619995898,120.541564996565 23.4954750043945,120.541623001413 23.4952530016761,120.541402996311 23.4951499996365,120.541477000217 23.4947069994223))"
鹿草北外環道路,鹿草鄉公所,CYQ,嘉義縣,鹿草鄉,縣道167,縣道167,單向,1306.8,990817,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.30192374174 23.4167852042587,120.305957786811 23.4175531220458,120.310034744444 23.4182028987647,120.314455029898 23.4182029011075))"
鹿草鄉北外環道路,鹿草鄉公所,CYQ,嘉義縣,鹿草鄉,縣道167,縣道167,單向,1306.8,990817,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.302012884381 23.4167173463457,120.310034752938 23.4180805178415,120.314425317781 23.4180805160879))"
